Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
770.9172,0.11478,670.631,0.7116
771.3994,0.11431,671.11312,0.71714
771.8815,0.11402,671.59525,0.72049
772.3636,0.11374,672.07737,0.72128
772.8457,0.1133,672.5595,0.71957
773.3279,0.11262,673.04162,0.71593
773.8099,0.11173,673.52375,0.71131
774.2921,0.11075,674.006,0.70669
774.7742,0.10979,674.48812,0.70279
775.2563,0.10895,674.97025,0.69981
775.7385,0.10821,675.45237,0.69746
776.2206,0.10751,675.9345,0.69522
776.7028,0.10676,676.41662,0.69266
777.1848,0.10592,676.89875,0.68971
777.667,0.10503,677.381,0.68665
778.1491,0.10421,677.86312,0.68398
778.6312,0.10359,678.34525,0.68205
779.1133,0.10324,678.82737,0.68082
779.5955,0.10317,679.3095,0.67985
780.0776,0.10327,679.79162,0.67851
780.5597,0.10341,680.27375,0.67619
781.0419,0.1035,680.755,0.67263
781.5239,0.1035,681.23712,0.66799
782.0061,0.10346,681.71925,0.66269
782.4882,0.10346,682.20137,0.65716
782.9703,0.10359,682.6835,0.6516
783.4525,0.10388,683.16562,0.64595
783.9346,0.1043,683.64775,0.63997
784.4167,0.1048,684.13,0.63351
784.8988,0.10534,684.61212,0.62671
785.381,0.10587,685.09425,0.62006
785.8631,0.10641,685.57637,0.61418
786.3452,0.10694,686.0585,0.60961
786.8273,0.10742,686.54062,0.60649
787.3094,0.10778,687.02275,0.60455
787.7916,0.10793,687.505,0.60321
788.2737,0.10784,687.98712,0.60182
788.7559,0.10751,688.46925,0.59995
789.238,0.10705,688.95137,0.59755
789.7201,0.1066,689.4335,0.59489
790.2022,0.10631,689.91562,0.59237
790.6843,0.10627,690.39775,0.59032
791.1665,0.1065,690.88,0.58888
791.6486,0.10694,691.36212,0.58797
792.1307,0.10752,691.84425,0.58746
792.6128,0.10815,692.32637,0.58724
793.095,0.10883,692.8085,0.58727
793.5771,0.10952,693.29062,0.5876
794.0592,0.11024,693.77275,0.5882
794.5413,0.11095,694.255,0.5889
795.0234,0.11165,694.73712,0.58947
795.5056,0.11228,695.21925,0.58965
795.9877,0.11287,695.70137,0.5894
796.4698,0.11348,696.1835,0.58891
796.952,0.11419,696.66562,0.5886
797.4341,0.11508,697.14775,0.58892
797.9162,0.11614,697.629,0.59011
798.3983,0.11728,698.11112,0.59202
798.8805,0.11832,698.59325,0.59412
799.3625,0.11907,699.07537,0.59562
799.8447,0.11937,699.5575,0.59579
800.3268,0.1192,700.03962,0.59417
800.809,0.11862,700.52175,0.59068
801.2911,0.11779,701.004,0.58562
801.7732,0.11686,701.48612,0.57943
802.2553,0.11593,701.96825,0.57257
802.7374,0.11501,702.45037,0.56542
803.2196,0.11406,702.9325,0.55825
803.7017,0.11305,703.41462,0.55132
804.1838,0.11195,703.89675,0.5449
804.666,0.11079,704.379,0.53924
805.1481,0.10963,704.86112,0.53451
805.6302,0.10847,705.34325,0.53065
806.1123,0.1073,705.82537,0.52732
806.5945,0.10605,706.3075,0.52401
807.0765,0.10463,706.78962,0.52018
807.5587,0.10304,707.27175,0.5155
808.0408,0.10135,707.754,0.50992
808.5229,0.09972,708.23612,0.50374
809.0051,0.09833,708.71825,0.49739
809.4872,0.0973,709.20037,0.49124
809.9694,0.0966,709.6825,0.48546
810.4514,0.09611,710.16462,0.47989
810.9336,0.09565,710.64675,0.47425
811.4156,0.09503,711.129,0.46819
811.8978,0.0942,711.61112,0.46146
812.3799,0.0932,712.09325,0.45391
812.8621,0.09216,712.57537,0.44548
813.3442,0.09125,713.0575,0.43601
813.8263,0.09055,713.53962,0.42526
814.3085,0.09004,714.02175,0.41289
814.7905,0.08965,714.504,0.39873
815.2727,0.08927,714.98612,0.38289
815.7548,0.08884,715.46825,0.36596
816.2369,0.0884,715.95037,0.34892
816.7191,0.08802,716.4325,0.33295
817.2012,0.08781,716.91462,0.31913
817.6833,0.08781,717.39675,0.30815
818.1654,0.08801,717.878,0.30015
818.6476,0.08833,718.36012,0.29472
819.1296,0.08873,718.84225,0.29103
819.6118,0.08915,719.32437,0.28805
820.0939,0.08964,719.8065,0.28476
