pixel,y_um,intensity,bg_mean,bg_std
454,5.3646,41427.2689,39705.563,15211.6848
455,5.3765,40624.2225,39705.563,15211.6848
456,5.3883,40747.172,39705.563,15211.6848
457,5.4001,40523.4751,39705.563,15211.6848
458,5.4119,39559.987,39705.563,15211.6848
459,5.4237,40028.7449,39705.563,15211.6848
460,5.4355,40822.9943,39705.563,15211.6848
461,5.4474,41319.4002,39705.563,15211.6848
462,5.4592,40983.0171,39705.563,15211.6848
463,5.471,40655.0122,39705.563,15211.6848
464,5.4828,40428.1736,39705.563,15211.6848
465,5.4946,40698.1597,39705.563,15211.6848
466,5.5064,41120.4189,39705.563,15211.6848
467,5.5183,39798.7645,39705.563,15211.6848
468,5.5301,41532.6243,39705.563,15211.6848
469,5.5419,40207.1997,39705.563,15211.6848
470,5.5537,40222.9087,39705.563,15211.6848
471,5.5655,40101.216,39705.563,15211.6848
472,5.5773,39988.5297,39705.563,15211.6848
473,5.5892,40855.8786,39705.563,15211.6848
474,5.601,40645.1679,39705.563,15211.6848
475,5.6128,39565.2233,39705.563,15211.6848
476,5.6246,40313.6023,39705.563,15211.6848
477,5.6364,40620.8712,39705.563,15211.6848
478,5.6482,40307.7376,39705.563,15211.6848
479,5.6601,41567.3936,39705.563,15211.6848
480,5.6719,41267.2461,39705.563,15211.6848
481,5.6837,40932.3293,39705.563,15211.6848
482,5.6955,40805.4002,39705.563,15211.6848
483,5.7073,40470.4833,39705.563,15211.6848
484,5.7191,40675.5387,39705.563,15211.6848
485,5.731,40580.4466,39705.563,15211.6848
486,5.7428,40192.9568,39705.563,15211.6848
487,5.7546,40878.9185,39705.563,15211.6848
488,5.7664,41158.9584,39705.563,15211.6848
489,5.7782,40656.2689,39705.563,15211.6848
490,5.79,40912.6406,39705.563,15211.6848
491,5.8019,41117.0676,39705.563,15211.6848
492,5.8137,39444.5778,39705.563,15211.6848
493,5.8255,41253.4222,39705.563,15211.6848
494,5.8373,41677.1475,39705.563,15211.6848
495,5.8491,40611.0269,39705.563,15211.6848
496,5.8609,40608.9324,39705.563,15211.6848
497,5.8728,40390.4719,39705.563,15211.6848
498,5.8846,40972.1255,39705.563,15211.6848
499,5.8964,41640.2836,39705.563,15211.6848
500,5.9082,40130.749,39705.563,15211.6848
501,5.92,40652.0799,39705.563,15211.6848
502,5.9318,42042.0163,39705.563,15211.6848
503,5.9437,40536.2518,39705.563,15211.6848
504,5.9555,40551.9609,39705.563,15211.6848
505,5.9673,40171.1736,39705.563,15211.6848
506,5.9791,40147.2958,39705.563,15211.6848
507,5.9909,41356.8924,39705.563,15211.6848
508,6.0027,41086.9063,39705.563,15211.6848
509,6.0146,40888.5534,39705.563,15211.6848
510,6.0264,40797.6504,39705.563,15211.6848
511,6.0382,40629.8778,39705.563,15211.6848
512,6.05,39851.128,39705.563,15211.6848
513,6.0618,40742.1451,39705.563,15211.6848
514,6.0736,40660.0391,39705.563,15211.6848
515,6.0854,39699.6927,39705.563,15211.6848
516,6.0973,40298.7311,39705.563,15211.6848
517,6.1091,41232.6862,39705.563,15211.6848
518,6.1209,40759.3203,39705.563,15211.6848
519,6.1327,40505.0432,39705.563,15211.6848
520,6.1445,40683.498,39705.563,15211.6848
521,6.1563,41214.4637,39705.563,15211.6848
522,6.1682,40210.5509,39705.563,15211.6848
523,6.18,40126.141,39705.563,15211.6848
524,6.1918,40701.9299,39705.563,15211.6848
525,6.2036,40720.1524,39705.563,15211.6848
526,6.2154,41041.0359,39705.563,15211.6848
527,6.2272,40627.5738,39705.563,15211.6848
528,6.2391,39889.2486,39705.563,15211.6848
529,6.2509,40394.4515,39705.563,15211.6848
530,6.2627,40755.1312,39705.563,15211.6848
531,6.2745,41902.1011,39705.563,15211.6848
